,amount,transaction_time,location,customer_age,card_type,purchase_category
0,5758.59,0,23,43,2,0
1,1901.56,1,41,61,3,2
2,1248.86,2,46,57,2,0
3,7619.05,3,46,59,1,5
4,1890.1,4,27,36,2,4
5,8487.68,5,0,43,0,0
6,7565.3,6,47,19,3,2
7,2284.88,7,40,40,0,5
8,3952.73,8,39,43,0,1
9,8362.04,9,17,55,3,3
10,2974.23,10,21,70,2,4
11,4128.7,11,39,27,1,5
12,6409.54,12,23,46,0,3
13,2190.4,13,10,34,3,0
14,2516.99,14,4,41,2,4
15,3454.14,15,17,19,1,4
16,2415.3,16,33,41,3,2
17,79.76,17,8,64,3,3
18,8906.66,18,28,62,3,5
19,6838.47,19,34,44,1,1
20,2821.68,20,0,57,2,1
21,1621.03,21,31,40,2,4
22,625.58,22,27,60,3,2
23,4944.29,23,14,51,1,4
24,9027.91,24,32,28,3,1
25,613.44,25,1,42,2,5
26,7558.94,26,21,23,3,3
27,4306.65,27,47,45,0,1
28,6743.61,28,8,65,0,1
29,8987.41,29,6,55,2,2
30,4464.86,30,38,24,2,0
31,9771.9,31,19,30,0,2
32,6748.27,32,30,35,1,4
33,3190.8,33,45,32,3,0
34,7716.15,34,9,58,2,2
35,9145.62,35,24,66,2,4
36,6983.78,36,8,51,2,3
37,6059.01,37,32,61,3,5
38,9593.37,38,5,66,0,1
39,5696.32,39,35,22,1,2
40,7274.22,40,12,27,0,2
41,3197.45,41,45,66,3,3
42,3587.54,42,24,39,1,0
43,8111.54,43,17,53,0,2
44,3710.73,44,39,21,1,1
45,3009.47,45,27,29,3,3
46,4895.98,46,28,38,2,1
47,5463.71,47,31,43,2,2
48,7452.24,48,5,28,2,4
49,2288.84,49,40,23,3,2
50,1713.82,50,26,56,3,1
51,6911.74,51,19,46,1,4
52,4103.23,52,46,35,3,5
53,8800.95,53,18,48,0,4
54,3250.43,54,35,45,3,3
55,7964.55,55,42,21,1,1
56,9452.68,56,46,37,0,1
57,4038.38,57,39,64,3,1
58,8688.14,58,27,37,2,4
59,4649.28,59,37,21,0,4
60,1535.32,100,24,37,3,1
61,7381.21,101,23,27,2,1
62,3861.79,102,17,35,3,3
63,9496.84,103,12,24,3,2
64,8734.88,104,41,36,1,0
65,7884.77,105,13,27,1,2
66,3820.76,106,27,62,1,3
67,8703.8,107,38,61,0,2
68,1502.35,108,33,44,1,3
69,3663.44,109,28,38,0,4
70,4349.47,110,10,42,0,1
71,8175.87,111,4,27,0,1
72,9054.57,112,46,45,3,4
73,1518.88,113,34,22,0,4
74,9460.97,114,19,43,3,3
75,2177.77,115,35,21,0,4
76,173.73,116,13,34,0,0
77,4728.16,117,2,43,3,2
78,2716.19,118,41,37,0,0
79,1985.59,119,44,33,1,1
80,4978.25,120,39,19,2,0
81,1591.58,121,21,64,2,3
82,8299.48,122,30,19,1,0
83,8539.61,123,42,46,1,5
84,2783.92,124,22,28,0,3
85,1907.56,125,35,37,1,1
86,6072.18,126,11,47,2,1
87,4996.38,127,13,43,1,2
88,4356.72,128,4,42,2,5
89,8517.45,129,37,62,1,2
90,4878.55,130,44,18,0,1
91,6661.23,131,49,40,3,4
92,3540.16,132,19,67,3,3
93,1069.05,133,11,63,0,3
94,9529.97,134,16,31,2,1
95,7063.18,135,13,22,3,4
96,6082.1,136,39,31,0,0
97,1423.36,137,25,57,2,0
98,5192.44,138,12,63,0,4
99,4947.37,139,33,48,0,1
100,2171.87,140,49,66,3,5
101,4910.16,141,35,51,0,5
102,9569.0,142,28,31,1,3
103,6318.77,143,43,47,2,5
104,3392.42,144,12,36,3,0
105,3113.01,145,14,48,1,4
106,6188.62,146,34,42,1,1
107,6120.15,147,16,42,0,4
108,5995.17,148,28,68,2,3
109,5301.07,149,43,64,0,2
110,3417.56,150,21,56,2,5
111,3739.81,151,20,68,0,3
112,6888.26,152,30,32,3,1
113,1290.05,153,13,49,1,5
114,5657.62,154,16,48,1,2
115,4740.5,155,30,64,1,2
116,186.92,156,47,48,0,2
117,3706.39,157,35,68,3,4
118,2468.64,158,2,29,1,1
119,9446.32,159,19,37,1,2
120,6885.93,200,27,67,0,3
121,9102.36,201,46,65,0,2
122,9026.52,202,6,29,1,5
123,6342.38,203,22,34,0,1
124,9019.38,204,25,28,3,3
125,4767.11,205,27,48,3,4
126,2812.51,206,7,50,3,5
127,3414.17,207,21,37,1,3
128,7940.24,208,5,68,1,3
129,6986.31,209,47,62,1,1
130,9019.54,210,27,22,2,1
131,9655.08,211,39,29,1,0
132,7818.14,212,39,52,0,5
133,5727.03,213,7,60,3,1
134,9114.69,214,15,49,1,1
135,7083.97,215,31,58,2,1
136,6097.78,216,12,44,1,3
137,8135.09,217,47,67,0,5
138,2498.5,218,2,68,2,1
139,5637.35,219,42,24,1,3
140,8906.66,220,7,26,1,0
141,3141.47,221,43,66,3,5
142,8808.47,222,42,65,3,3
143,3847.59,223,8,50,2,5
144,1492.07,224,13,27,0,1
145,3223.33,225,31,45,2,5
146,5297.06,226,40,24,3,0
147,4632.27,227,3,28,1,2
148,9005.3,228,4,35,0,0
149,9471.97,229,3,63,0,0
150,7280.99,230,16,55,2,1
151,678.59,231,39,57,0,5
152,3901.87,232,27,53,2,3
153,1939.89,233,33,47,1,0
154,7701.76,234,42,46,3,2
155,7121.96,235,3,56,0,3
156,3644.19,236,10,54,1,2
157,7779.82,237,15,56,3,2
158,4742.73,238,13,36,0,3
159,2241.1,239,25,60,3,0
160,40.5,240,44,50,1,1
161,3568.13,241,47,22,2,5
162,6210.32,242,45,55,1,1
163,5623.16,243,17,37,0,3
164,7839.01,244,3,62,3,1
165,9567.11,245,39,20,1,4
166,4852.13,246,23,44,0,5
167,3148.54,247,9,63,1,0
168,8833.3,248,45,53,2,2
169,2008.58,249,5,25,1,4
170,8109.18,250,14,29,2,5
171,1890.07,251,47,47,3,2
172,9237.85,252,10,40,2,3
173,6054.76,253,32,43,2,4
174,2963.24,254,49,23,1,2
175,615.02,255,26,64,2,3
176,8848.87,256,19,18,0,4
177,5239.79,257,4,36,1,1
178,5046.25,258,49,20,3,1
179,2489.78,259,25,53,2,5
180,3766.33,300,39,45,0,5
181,7009.45,301,33,48,1,5
182,8528.48,302,1,30,1,4
183,2988.79,303,5,27,2,3
184,2050.36,304,47,38,3,3
185,2968.07,305,23,68,2,4
186,297.92,306,8,51,2,1
187,6443.44,307,35,43,3,3
188,4220.02,308,22,50,3,3
189,3692.63,309,49,35,0,2
190,7760.21,310,27,51,1,0
191,9929.87,311,42,22,0,1
192,4472.38,312,44,19,3,4
193,3826.37,313,22,42,0,2
194,1578.21,314,17,28,2,3
195,4446.95,315,0,35,2,4
196,3147.73,316,45,47,0,4
197,9369.66,317,35,22,2,2
198,4564.87,318,25,42,0,1
199,1985.83,319,17,40,1,1
200,6069.36,320,6,43,1,2
201,2854.78,321,10,57,3,5
202,5868.94,322,9,30,3,4
203,3234.81,323,5,58,3,1
204,179.39,324,5,66,0,5
205,533.71,325,9,62,1,3
206,3272.11,326,38,68,2,0
207,4776.24,327,19,68,1,4
208,1426.11,328,0,52,3,3
209,8319.73,329,3,65,2,4
210,3756.54,330,36,44,3,4
211,264.4,331,42,38,2,5
212,4348.25,332,17,22,0,3
213,3245.6,333,5,29,3,1
214,1788.2,334,7,19,2,2
215,6134.69,335,41,39,1,0
216,7607.71,336,16,34,0,5
217,6439.77,337,18,25,2,2
218,3246.9,338,9,40,2,1
219,7567.35,339,44,68,0,2
220,403.42,340,40,26,1,3
221,5121.97,341,18,50,0,1
222,7230.54,342,35,19,1,2
223,7139.5,343,3,64,1,1
224,4971.8,344,31,48,3,5
225,9270.22,345,29,50,1,4
226,1407.72,346,37,44,3,1
227,1031.51,347,25,66,1,2
228,1642.18,348,22,37,3,3
229,7141.4,349,2,47,3,5
230,927.68,350,14,67,1,3
231,3609.57,351,1,48,0,3
232,3577.24,352,47,18,1,1
233,820.78,353,16,25,3,2
234,3442.3,354,41,44,0,2
235,705.07,355,41,55,2,2
236,4011.59,356,46,42,2,0
237,630.88,357,9,26,1,5
238,4169.37,358,38,19,3,2
239,7899.39,359,35,65,3,0
240,6948.92,400,41,27,0,2
241,5485.49,401,6,60,3,2
242,903.84,402,15,33,1,5
243,2080.47,403,47,30,0,3
244,1599.01,404,24,42,0,2
245,7630.01,405,49,26,2,2
246,8687.96,406,36,49,1,5
247,2281.69,407,4,19,1,1
248,574.58,408,37,43,3,2
249,6838.38,409,17,41,1,0
250,252.01,410,26,67,2,0
251,6432.6,411,16,33,1,2
252,6975.9,412,22,61,1,5
253,4792.15,413,8,53,2,1
254,431.34,414,41,22,3,4
255,7587.69,415,42,31,0,4
256,9500.16,416,37,69,1,5
257,9544.67,417,12,48,1,1
258,1385.35,418,28,52,0,1
259,3201.4,419,16,55,3,1
260,3881.38,420,2,39,0,1
261,6346.96,421,17,42,0,2
262,3964.13,422,33,62,0,0
263,5107.37,423,35,26,1,0
264,2903.5,424,43,30,1,5
265,244.9,425,1,38,3,5
266,7150.27,426,41,36,2,0
267,4155.24,427,7,32,0,1
268,688.94,428,14,41,1,4
269,2009.24,429,10,59,0,2
270,369.7,430,36,22,3,4
271,2302.76,431,24,28,0,1
272,4919.74,432,1,55,2,5
273,3500.32,433,2,19,1,2
274,815.47,434,8,37,0,5
275,8817.65,435,22,41,2,2
276,5096.39,436,13,52,3,4
277,8292.08,437,41,69,0,0
278,3977.84,438,16,54,3,0
279,1531.04,439,7,69,1,2
280,83.43,440,22,44,2,4
281,6280.52,441,43,32,1,3
282,6231.69,442,18,63,2,0
283,2663.81,443,44,53,0,3
284,3749.26,444,48,40,2,0
285,3890.31,445,6,56,3,4
286,8349.88,446,34,41,2,0
287,7544.17,447,11,26,2,3
288,2570.22,448,0,36,2,4
289,1965.77,449,9,70,2,3
290,8980.3,450,16,21,2,5
291,3932.4,451,36,39,3,2
292,6508.12,452,27,20,0,3
293,4521.98,453,32,21,3,2
294,4460.98,454,49,35,3,4
295,9677.67,455,24,70,1,2
296,6721.75,456,16,38,3,5
297,7702.47,457,35,68,2,4
298,2053.85,458,2,23,2,1
299,1135.81,459,4,65,3,0
300,3880.65,500,9,68,0,3
301,1076.23,501,33,19,0,0
302,9331.5,502,26,64,0,3
303,2063.78,503,25,43,0,5
304,7600.0,504,22,59,1,1
305,7359.67,505,43,42,1,2
306,2993.11,506,16,66,1,4
307,6900.6,507,19,44,3,2
308,2151.28,508,29,18,0,0
309,5936.65,509,37,41,0,1
310,3040.67,510,6,53,3,1
311,4643.16,511,6,50,1,0
312,6481.82,512,14,20,1,2
313,2305.8,513,16,55,1,0
314,8903.16,514,15,38,3,3
315,8437.19,515,18,54,0,5
316,2175.89,516,7,28,0,2
317,247.89,517,26,59,1,4
318,133.48,518,16,34,2,3
319,8297.58,519,31,31,3,4
320,8604.98,520,29,55,3,4
321,2071.46,521,44,58,1,0
322,9468.48,522,27,59,0,2
323,3891.83,523,45,50,0,2
324,3280.31,524,1,23,1,4
325,9842.45,525,29,39,1,5
326,6022.11,526,8,51,1,3
327,1660.92,527,5,58,1,0
328,4921.91,528,34,50,1,1
329,5612.69,529,30,33,0,0
330,2860.57,530,45,28,1,1
331,9867.94,531,21,27,1,1
332,8575.02,532,12,41,1,5
333,2492.7,533,27,70,1,3
334,6167.54,534,17,49,0,2
335,8845.28,535,31,21,1,0
336,8528.29,536,29,28,1,0
337,6196.57,537,22,25,3,4
338,8573.09,538,22,24,0,0
339,9468.4,539,15,44,2,0
340,9302.29,540,40,52,3,3
341,3041.43,541,16,65,0,4
342,3820.39,542,25,42,2,2
343,5685.43,543,40,43,1,0
344,1603.28,544,5,60,0,4
345,544.84,545,4,70,0,1
346,2160.93,546,27,20,0,4
347,1915.95,547,0,28,2,5
348,4237.42,548,23,70,3,1
349,8765.68,549,34,52,1,3
350,770.23,550,42,56,0,5
351,4180.7,551,49,60,3,5
352,233.72,552,18,62,0,2
353,7706.73,553,35,29,1,5
354,8986.23,554,17,51,2,5
355,3027.48,555,0,23,1,5
356,2634.63,556,30,34,2,4
357,9301.96,557,38,57,1,4
358,8874.75,558,10,50,0,1
359,8007.56,559,0,56,0,4
360,2054.61,600,12,43,0,1
361,9194.87,601,8,40,2,2
362,7445.16,602,23,45,2,1
363,6821.47,603,16,60,3,4
364,313.37,604,11,55,1,5
365,9311.12,605,47,60,3,1
366,4770.28,606,23,24,0,1
367,153.3,607,13,70,3,0
368,870.09,608,0,63,1,5
369,2355.68,609,14,48,2,3
370,8699.22,610,19,53,1,5
371,5801.97,611,38,25,2,0
372,5578.87,612,18,66,1,3
373,2707.97,613,15,41,0,5
374,7031.74,614,13,34,3,4
375,4802.45,615,27,61,3,5
376,7317.03,616,32,66,1,5
377,1541.42,617,43,53,1,1
378,660.93,618,34,62,2,0
379,6783.41,619,35,30,0,5
380,308.68,620,42,42,1,1
381,4979.26,621,22,69,1,4
382,8306.21,622,36,23,2,2
383,4130.12,623,18,65,3,1
384,9729.34,624,13,67,2,1
385,5771.84,625,28,22,2,1
386,449.9,626,18,38,3,4
387,639.47,627,31,33,0,1
388,7697.64,628,25,53,2,1
389,2815.42,629,42,32,3,3
390,2822.87,630,40,32,2,5
391,4796.92,631,40,42,3,0
392,8021.39,632,49,42,2,1
393,253.88,633,2,66,2,1
394,2726.9,634,4,58,2,1
395,8721.2,635,2,67,3,0
396,2355.84,636,10,37,3,0
397,4485.41,637,3,36,3,0
398,29.47,638,22,55,3,5
399,6505.32,639,8,30,0,3
400,8736.47,640,7,36,3,4
401,8355.57,641,11,47,1,4
402,4359.09,642,33,62,0,5
403,9521.94,643,18,36,0,4
404,4890.39,644,7,32,0,1
405,2322.89,645,39,21,0,5
406,8486.08,646,44,32,1,0
407,482.47,647,30,36,0,0
408,3646.71,648,47,59,0,2
409,5984.51,649,22,27,2,5
410,4568.01,650,20,45,0,2
411,4730.03,651,30,47,0,1
412,1647.31,652,24,53,2,0
413,6589.43,653,47,65,1,5
414,3719.01,654,42,67,3,2
415,5514.73,655,7,35,0,0
416,1465.5,656,17,69,3,1
417,7354.6,657,43,39,0,2
418,3474.41,658,7,69,2,0
419,1747.89,659,14,43,1,2
420,4023.77,700,31,45,1,2
421,4680.17,701,46,64,0,2
422,3480.9,702,43,22,0,0
423,2931.57,703,37,24,1,1
424,8144.13,704,46,67,2,1
425,7519.08,705,12,39,0,2
426,4950.16,706,40,40,3,4
427,5427.26,707,1,43,1,5
428,3609.69,708,33,53,2,0
429,4322.8,709,1,59,1,5
430,6025.5,710,29,22,3,3
431,8848.88,711,18,44,2,1
432,3334.71,712,47,18,0,1
433,3593.1,713,49,56,0,0
434,4670.89,714,1,42,1,2
435,7539.5,715,5,37,1,2
436,8619.38,716,2,60,1,3
437,1651.12,717,29,21,2,4
438,437.13,718,19,41,2,3
439,5068.47,719,38,46,0,3
440,8598.52,720,43,50,1,5
441,6254.38,721,48,49,0,3
442,5991.94,722,9,45,3,0
443,5406.71,723,0,44,1,2
444,8321.81,724,40,19,2,3
445,1602.69,725,45,66,0,2
446,7989.37,726,49,67,1,3
447,1403.82,727,35,64,3,1
448,8164.42,728,10,22,3,4
449,2066.07,729,14,48,3,2
450,6935.22,730,12,52,1,1
451,826.62,731,49,28,2,4
452,4195.57,732,1,61,0,2
453,1127.68,733,8,57,1,0
454,5018.82,734,42,42,0,4
455,429.36,735,32,24,1,3
456,1047.11,736,1,36,1,5
457,50.36,737,2,65,2,5
458,9345.71,738,10,58,2,0
459,6649.72,739,7,48,1,5
460,1655.37,740,11,32,0,3
461,2275.56,741,1,19,2,0
462,7100.43,742,6,46,1,0
463,3355.65,743,39,36,0,5
464,1178.04,744,49,52,3,4
465,7321.23,745,45,64,1,0
466,7971.16,746,39,19,1,0
467,5489.02,747,33,27,2,5
